company	url	picture	address	Area	tags	numOfEmplyee	category	contactEmail	contactPhone	contactName	description	twitter	facebookPage	latitude	longitude	isHiring	on logo map?	tofes?	Company Type	Comments	If your company is hiring, please add a link to the "open position" web page	~Year of establishment	~Are you familiar with the grants for Jerusalem based companies?	~Is your company looking to raise money?	~If yes- would you like to get more information about the grants?did	~If not - would you like to get more information about the grants?	~Is your company looking to raise money?	logo	Company	מקור	שם החברה באנגלית	שלוחות בחו"ל	מקור תיק לקוח	פקס	מגזר עסקי	מענק לחברות ביו	מוסד אקדמי	מעוניין בפניה יזומה	מענק הסתגלות	הוסף איש קשר ראשי כעובד חברה	מהות הפניה	ביו-גדול	מנכ"ל	ח.פ	השפעה על התאמת תוכניות הלימודים לצרכי התעשיה	תעסוקה	מסלול תעסוקה	כוונה לפתוח או להרחיב שלוחות	מסלול שכר גבוה	איזור תעשיה	שלוחות בישראל	שלוחות בירושלים	מעבדות	הקצאת קרקע	עובד עובר	תעסוקת חרדים	מסלול אחר	האם התקבלו מענקים קודמים	ביצוע מחקרים עם חוקרים באקדמיה	בעלים משני	מענק לחברות הזנק	מענק העסקת סטודנטים	כוונה לקלוט סטודנטים	תחום	מהנדסים/מתכנתים	עובדי הנהלה	עובדים אחרים	תאריך Round A	סכום Round A	תאריך Round B	סכום Round B	תאריך Seed	סכום Seed
Ericom	http://www.ericom.com/contact.asp	http://springboardpr.com/wp-content/uploads/ericom-logo-01.png	המרפא 8, ת.ד. 45122	הר חוצבים	Mid		Software				ספקית פתרונות גישה לשולחנות עבודה ויישומים הפועלים על גבי מגוון שרתים ארגוניים, כמו גם פתרונות לשיפור חווית המשתמש באמצעות האצת פרוטוקול ה-RDP. עם עשרות אלפי לקוחות ולמעלה משבע מיליון התקנות ב- 45 מדינות, מפעילה אריקום שלוחות בארה"ב, אירופה, וישראל, ורשת של מפיצים, שותפים אסטרטגיים ויצרני ציוד מקורי (OEM), בניהם HP, WYSE, IGEL ואחרים, המשלבים את מוצריה בפתרונותיהם בצפון אמריקה, אירופה, והמזרח הרחוק. מרכז הפיתוח של אריקום פועל בהר חוצבים.			31.802865	35.211192		V											<img src="http://springboardpr.com/wp-content/uploads/ericom-logo-01.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.ericom.com/contact.asp">Ericom</a>	הקובץ של MAdeinJLM	Ericom																																										
Everminder	http://www.everminder.com/	http://madeinjlm.org/map/1px.png		Talpiot	Pre-Seed	1	mobile	Ben Wiener									V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.everminder.com/">Everminder</a>	הקובץ של MAdeinJLM	Everminder																																										
Execelingo	http://www.excelingo.com/	http://madeinjlm.org/map/1px.png			Pre-Seed	2	Mobile				ExceLingo's mission is to be the world's leading provider of language learning applications for mobile phones. 						V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.excelingo.com/">Execelingo</a>	הקובץ של MAdeinJLM	Execelingo																																										
Exlibris	http://www.exlibris.co.il/	http://www.exlibrisgroup.com/template/images/company_logo.gif	The Technological Garden	Malcha	Big 	300	Software				Take your library to the next generation Consolidate and extend your library\'s operations with a unified, SaaS platform for electronic, print and digital.			31.750285	35.187364	TRUE	V											<img src="http://www.exlibrisgroup.com/template/images/company_logo.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.exlibris.co.il/">Exlibris</a>	הקובץ של MAdeinJLM	Exlibris																																										
FaceTune	http://www.facetuneapp.com	http://a200.phobos.apple.com/us/r1000/113/Purple2/v4/fc/f5/9a/fcf59aff-4318-5b9d-16df-3803e954ff7f/mzl.guqiyozq.png	Givat Ram	Givat Ram	Mid	17	Mobile	Zeev Farbman		Zeev Farbman	Facetune is a fun and powerful portrait photo editor which allows you to easily achieve magazine-style results!	https://twitter.com/facetuneapp	https://www.facebook.com/facetuneapp	31.767407	35.197421	Yes, we are hiring!	V											<img src="http://a200.phobos.apple.com/us/r1000/113/Purple2/v4/fc/f5/9a/fcf59aff-4318-5b9d-16df-3803e954ff7f/mzl.guqiyozq.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.facetuneapp.com">FaceTune</a>	הקובץ של MAdeinJLM	FaceTune																																										
Finn Partners	http://www.finnpartners.co.il	http://www.holmesreport.com/Uploadedfiles/agency/logo%20translucent.png	Hartum 8, Har Hotzvim	HH		5/10/2014	Service Provider / Outsource	goel@finnpartners.co.il	02-589-2000	Goel Jasper	We help Israel-based hi-tech and bio-tech companies communicate to the markets outside of Israel that help them succeed. Our primary business is public relations, and we also provide analyst relations, strategic research and social media services.	@RFIPR		31.802911	35.213109	Yes, we are hiring!			Service Provider / Outsource									<img src="http://www.holmesreport.com/Uploadedfiles/agency/logo%20translucent.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.finnpartners.co.il">Finn Partners</a>	הקובץ של MAdeinJLM	Finn Partners																																										
FreeMind	http://www.freemind.co.il	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ73Lm-1y3E37J41PkiFbmOmD7TVwFcQn1AqlPxb4oUFI5vQMtNsg	2/8 Hi Tech Park, Givat Ram, POB 39039, Jerusalem 91390, ISRAEL	Givat Ram		25	Service Provider / Outsource		02-6799833	ענבל מרדכי	ייעוץ עסקי לחברות הייטק וביוטק בארץ ובעולם. רוב עובדי החברה מרקע טכנולוגי (השכלה ועבודה)			31.767115	35.198059	Yes, we are hiring!												<img src="2/8 Hi Tech Park, Givat Ram, POB 39039, Jerusalem 91390, ISRAEL" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.freemind.co.il">FreeMind</a>	הקובץ של הרל"י	freemind	לא	אחר	02-6799834	אחר	לא	לא	כן	לא	כן	אחר	לא	אייל שמידט	513356766	לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	כן	כן		10	4	11						
Freightos	http://www.freightos.com	http://www.freightos.com/images/FreightosLogo.png	22 Yoram Ronen, Givat Masua				Software	eytan@freightos.com	+972 54 206 9227	Eytan Buchman	Freightos is creating the world's first automated online freight network, connecting the carriers, freight vendors and shippers in order to modernize the multi-trillion dollar shipping industry. An "Expedia" for freight, Freightos already works with freight forwarders around the world.	Freightos	http://www.facebook.com/freightos	31.747903	35.17185	Nope			Startup	I am resubmitting because the data on the site is defunct. 			No	No				<img src="http://www.freightos.com/images/FreightosLogo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.freightos.com">Freightos</a>	הקובץ של MAdeinJLM	Freightos																																										
Gamba Gamez	http://apps.facebook.com/reely_app/	https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-prn1/851575_531261350245254_442516766_n.png	Hevron Road 24	JVP	Young	5	Internet	David Adi				ReelyMovies		31.767045	35.225326		X											<img src="https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-prn1/851575_531261350245254_442516766_n.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://apps.facebook.com/reely_app/">Gamba Gamez</a>	הקובץ של MAdeinJLM	Gamba Gamez																																										
GE-LIGHTING				בחר איזור תעשיה					0544735002	ירון מגל	פיתוח סוגי תאורות עתידיים מבוססות טכנולוגית חצאי מוליכים					Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">GE-LIGHTING</a>	הקובץ של הרל"י		לא	בחר מקור		בחר מגזר	לא	לא	לא	לא	כן	בחר מהות הפניה	לא			לא	לא	לא	כן	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא	Itzik Ozer	לא	לא	לא										
Glide	http://www.glide.me/	http://tctechcrunch2011.files.wordpress.com/2013/03/glide-logo-blue1.png	The Technological Garden	Malcha	Young	15	Mobile	Ari Roisman			Instant Video-messaging			31.749765	35.186377		V											<img src="http://tctechcrunch2011.files.wordpress.com/2013/03/glide-logo-blue1.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.glide.me/">Glide</a>	הקובץ של MAdeinJLM	Glide																																										
GreetingText	http://GreetingsText.com	http://greetingstext.com/images/en/logo.png	Levy 14	Talpiot			Internet	shuraki@gmail.com		Uriel Shuraki	At GreetingsText.com you will find all types of text greetings, such as Birthday Greetings, Holiday greetings etc. You can also find nice and funny texts and add your own texts.  			31.772415	35.220848				Startup		h							<img src="http://greetingstext.com/images/en/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://GreetingsText.com">GreetingText</a>	הקובץ של MAdeinJLM	GreetingsText.com																																										
Here a Story	here-a-story.com	here-a-story.com/assets/img/Logo.png	Hi-tech park, Givat Ram Jerusalem	Givat Ram	Young	3	Mobile	ariel@threetallguys.com		Ariel Ephrat	We're working on a mobile application for location-based storytelling called ״שמעו סיפור״ (Here a Story). Our app allows anyone to create, share and listen to local stories pinned to an interactive map.		http://facebook.com/hereAstory	31.77	35.21	Nope				2013	Yes	No																																																			
HR Vision	http://www.hrvision.com	http://www.hrvision.com/images/logo.gif	HaMarpe 4	HH	Mid	25	Software				 provides the optimal solution for call center employee assessment using unique technologies. 			31.802895	35.209653		V											<img src="http://www.hrvision.com/images/logo.gif" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.hrvision.com">HR Vision</a>	הקובץ של MAdeinJLM	HR Vision																																										
Humenyes	http://www.humaneyes.com/	http://www.geektime.co.il/wp-content/uploads/2011/03/humaneyes-1.png	Givat Ram	Givat Ram	Mid	25	Software		972-2-651-8999					31.779223	35.196824		V											<img src="http://www.geektime.co.il/wp-content/uploads/2011/03/humaneyes-1.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.humaneyes.com/">Humenyes</a>	הקובץ של MAdeinJLM	Humenyes																																										
IBM	http://www.research.ibm.com/	http://madeinjlm.org/map/1px.png	Building No. 8 Jerusalem Technology Park	Malcha	R&D Center	12	Software		04-8281423	הילה אייל	IBM R&D Jerusalem Center			31.749482	35.187103		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.research.ibm.com/">IBM</a>	הקובץ של MAdeinJLM	IBM																																										
illuminea	http://illuminea.com	http://illuminea.com/wp-content/uploads/2013/06/illumineafblogo.png	43a Emek Refaim St.	Talpiot		5	Service Provider / Outsource	miriam@illuminea.com	(02) 5660297	Miriam Schwab	illuminea is a full service WordPress development and online marketing agency with over seven years of experience.	miriamschwab	https://www.facebook.com/illuminea	31.76291	35.218345	Yes, we are hiring!			Service Provider / Outsource		http://illuminea.com/about/careers/							<img src="http://illuminea.com/wp-content/uploads/2013/06/illumineafblogo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://illuminea.com">illuminea</a>	הקובץ של MAdeinJLM	illuminea																																										
Imagry	http://www.imagry.co/	https://scontent-b-lga.xx.fbcdn.net/hphotos-prn1/1148941_650456068299550_1673518052_n.png		Derech Beit Haninia	Yound		Software	Adham.ghazali@gmail.com		Adham Ghazali	Imagry is an interactive visual shopping platform that allows mobile users find products using their mobile devices. 	https://twitter.com/imagryco	https://www.facebook.com/imagry	31.826524	35.227146	Nope		V										<img src="https://scontent-b-lga.xx.fbcdn.net/hphotos-prn1/1148941_650456068299550_1673518052_n.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.imagry.co/">Imagry</a>	הקובץ של MAdeinJLM	Imagry																																										
Inbal	http://inbalsoft.com/	https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t1/c21.21.259.259/s200x200/479901_117236131767291_1313738885_n.jpg	נתיב האורנים 42				Service Provider / Outsource	support@inbalsoft.com	97225346548	Udi	תכנון כתיבה שירות ותמיכה למערכות מחשב חשבונאיות, ChangeMat הוא היישום העיקרי שלנו.		https://www.facebook.com/ChangeMat	31.783669	35.161751	Nope			Service Provider / Outsource				No	Yes				<img src="https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/t1/c21.21.259.259/s200x200/479901_117236131767291_1313738885_n.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://inbalsoft.com/">Inbal</a>	הקובץ של MAdeinJLM	Inbal																																										
Innodata Isogen 	http://www.innodata.com		Gan Technology Malcha Building 23, 16th Floor Jerusalem	Malcha			software		077-5665595	דבורה מאסון	Empowering digital transformation for publishers, information services providers and enterprise content developers.			31.7698	35.21215	Nope												<img src="" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.innodata.com">Innodata Isogen </a>	הקובץ של הרל"י	Innodata	לא	אחר	02-6799566	היי-טק	לא	לא	לא	לא	כן	אחר	לא			לא	לא	לא	לא	לא		לא	לא	לא	לא	לא	לא	לא	לא	לא		לא	לא	לא										
Inpris	http://www.inprisltd.com/	http://madeinjlm.org/map/1px.png			Pre-Seed	2	Mobile				Siftech			31.7938	35.243233		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.inprisltd.com/">Inpris</a>	הקובץ של MAdeinJLM	Inpris																																										
Intel	http://bit.ly/intelIsrael	http://www.intel.com/sites/sitewide/HAT/40recode/pix/main-logo.png	Hamarpe 10	HH	Corporate	800	Semiconductor				Intel Corporation is an American multinational semiconductor chip maker corporation headquartered in Santa Clara, California. Intel is the world's largest and highest valued semiconductor chip maker, based on revenue.			31.802601	35.211182		V											<img src="http://www.intel.com/sites/sitewide/HAT/40recode/pix/main-logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://bit.ly/intelIsrael">Intel</a>	הקובץ של MAdeinJLM	Intel																																										
IPAttitude	http://WWW.ipattitude.com	https://lh3.ggpht.com/-LVIqpyIkrMw/URtS_ssBUCI/AAAAAAAAADM/cg3zbrN2gd8/s200/IPAplus+V13+.jpg	Rehov Hartoum 16, Har Hotzvim	HH		1	Software	ipattitude69@gmail.com	054-55-468-53	Dr. Sinai Yarus	IPAttitude provides patent related services to creative companies. We are small enough that we take the time to listen to your business plan and construct your IP portfolio around it.			31.8045	35.2109	Nope			Service Provider / Outsource	Quality IP services at an affordable price and service with a smile. 								<img src="https://lh3.ggpht.com/-LVIqpyIkrMw/URtS_ssBUCI/AAAAAAAAADM/cg3zbrN2gd8/s200/IPAplus+V13+.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://WWW.ipattitude.com">IPAttitude</a>	הקובץ של MAdeinJLM	IPAttitude																																										
Jerusalem Startup Hub	http://www.jerusalemstartuphub.com/	http://events.startisrael.co.il/uploads/Events/295bfb5cfeec50540692a3f7dfcb237c.jpg	18 Shlomtzion Hamalka st	Center			Accelerator/Hub				Jerusalem Startup Hub is a co-working space in the heart of Jerusalem, offering its services on daily, weekly and monthly basis. High-quality networking, exposure to VC’s, hi-end legal and financial services.	https://twitter.com/jerusalemstart	https://www.facebook.com/jerusalemstartuphub	31.77912	35.222637	Nope	V											<img src="http://events.startisrael.co.il/uploads/Events/295bfb5cfeec50540692a3f7dfcb237c.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.jerusalemstartuphub.com/">Jerusalem Startup Hub</a>	הקובץ של MAdeinJLM	Jerusalem Startup Hub																																										
Jumpspeed Ventures	http://www.jumpspeed.co	http://www.startbaseil.com/uploads/Investors/765f0345491b6afeb652327c658df289.png	2 Poalei Tzedek Talpiot	Talpiot		1	Investor	ben@jumpspeed.co		Ben Wiener	Jumpspeed Ventures, is Jerusalem's first micro-fund and product-stage accelerator. We can invest $50-$150k in companies that have more than just an idea but are still pre-market traction. Our investment and acceleration efforts with these companies will get them to and through market traction and further funding from larger investors/VCs.	@jumpspeedco	https://www.facebook.com/jumpspeedventures	31.75292	35.214958	Nope			Investor			2013	Yes	No				<img src="http://www.startbaseil.com/uploads/Investors/765f0345491b6afeb652327c658df289.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.jumpspeed.co">Jumpspeed Ventures</a>	הקובץ של MAdeinJLM	Jumpspeed Ventures																																										
JVP	http://www.jvpvc.com/	http://www.jvpvc.com/images/misc/jvp_logo.jpg	Hevron Road 24,	Talpiot			Investor				Jerusalem Venture Partners (“JVP”) is one of Israel’s largest and most active venture capital funds, and was recently ranked by Preqin as one of the top ten consistently performing funds in the world. . Founded in 1993, and with over $900 million raised to date, JVP has helped build over 90 companies and has orchestrated 25 of the largest exits in the region with 14 industry sales and 11 IPOs on NASDAQ, including QlikTech, XtremIO, CyOptics, Netro Corp, Chromatis Networks, Precise Software, Cogent Communication and more.			31.766953	35.225467		V											<img src="http://www.jvpvc.com/images/misc/jvp_logo.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.jvpvc.com/">JVP</a>	הקובץ של MAdeinJLM	JVP																																										
Kahena Digital Marketing	http://www.kahenadigital.com	http://www.kahenadigital.com/wp-content/themes/simplicity/images/logo.png	24 Derech Hevron (JVP)	Talpiot		13	Service Provider / Outsource	ari@kahenadigital.com	02-561-3127	Ari Nahmani	Inbound marketing agency	kahenadigital	https://www.facebook.com/KahenaDigital	31.766883	35.225255	Yes, we are hiring!			Other		http://www.kahenadigital.com/kahena-jobs/	2011	Yes	No			No	<img src="http://www.kahenadigital.com/wp-content/themes/simplicity/images/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.kahenadigital.com">Kahena Digital Marketing</a>	הקובץ של MAdeinJLM	Kahena Digital Marketing																																										
Kima group	http://www.kima.co.il	http://kima.co.il/sites/all/themes/m45_fontfolio/styles/images/vc.jpg	Mendelei Mokher Sfarim 1			6	Software	eyal@kima.co.il	02-8040000	Eyal Shlomo Levy	Kima group is about business growth with financial freedom. we provide a wide range of business services including:  Financial managment, Marketing, Large scale sites and software programing.	kimaclub	https://www.facebook.com/kimaclub	31.772269	35.220902	Yes, we are hiring!			Service Provider / Outsource	Thanks!	http://tinyurl.com/qxvwdmg	2014	Yes	Yes				<img src="http://kima.co.il/sites/all/themes/m45_fontfolio/styles/images/vc.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.kima.co.il">Kima group</a>	הקובץ של MAdeinJLM	Kima group																																										
Kramer Electronics	http://www.kramerelectronics.com/	http://iavicanada.com/wp-content/uploads/2012/12/Logo-Kramer-Full-Color-Box.png	3 Am VeOlamo Street	HH	Big	200	Hardware		02-6544-000		Kramer Electronics is a company that designs, manufactures and distributes signal management products for analog and digital video signals, audio signals, computer graphics video signals and control signals which are used in the professional AV, broadcast and production and residential AV markets worldwide.			31.789196	35.186845		V											<img src="http://iavicanada.com/wp-content/uploads/2012/12/Logo-Kramer-Full-Color-Box.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.kramerelectronics.com/">Kramer Electronics</a>	הקובץ של MAdeinJLM	Kramer Electronics																																										
Lapid LED 	http://LapidLED.com	http://d2bm3ljpacyxu8.cloudfront.net/width/296/www.lapidled.com/Lapid%20LED%20Logo%20Web%20Small.png	93 Derech Beit Lechem	Talpiot		6	Energy	Avner@lapidled.com	586337736	Avner Engel	Bringing the latest innovations in energy efficiency, we provide Israeli companies with multiple ways of reducing energy costs. Our clients receive a return of investment from 30-98% per year.		https://www.facebook.com/pages/%D7%9C%D7%A4%D7%99%D7%93-%D7%9C%D7%93/1422152374670451	31.752328	,35.218649	Yes, we are hiring!			Startup									<img src="http://d2bm3ljpacyxu8.cloudfront.net/width/296/www.lapidled.com/Lapid%20LED%20Logo%20Web%20Small.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://LapidLED.com">Lapid LED </a>	הקובץ של MAdeinJLM	Lapid LED 																																										
Leviathan energy	http://www.leviathanenergyinc.com/	http://www.leviathanenergyinc.com/templates/leviathan/images/home_top_left.jpg	Nachal Alexander, Building 1, Suite 2, Beit Shemesh 	Bet Shemesh	Mid		Energy			Joe Van Zwaren	By utilizing the physics of fluid dynamics Leviathan has created wind-, hydro-, and wave-powered products that fundamentally change the economics of investing in alternative energy technologies in these respective markets.		https://www.facebook.com/pages/Leviathan-Energy-Renewables/101375139949587	31.71228	35.001079		?											<img src="http://www.leviathanenergyinc.com/templates/leviathan/images/home_top_left.jpg" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.leviathanenergyinc.com/">Leviathan energy</a>	הקובץ של MAdeinJLM	Leviathan energy																																										
Lig	http://signup.justiceapp.us/	http://madeinjlm.org/map/1px.png	PICO	Talpiot	Pre-Seed	3	Mobile	Itamar Tzabari		Itamar Tzabari	Siftech			31.7939	35.243233		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://signup.justiceapp.us/">Lig</a>	הקובץ של MAdeinJLM	Lig																																										
Livnat, Mayer & Co. - Attorneys At Law	http://www.LMF.co.il	https://www.facebook.com/photo.php?fbid=104735889687488&set=a.104735153020895.10410.100004532320193&type=1&theater	Jerusalem Technology Park - Building #9, Malcha	Malcha			Service Provider / Outsource	mayer@LMF.co.il		Russell Mayer	We are a law firm established in Jerusalem which focuses on providing legal services to start-up enterprises with emphasis on those originating in Jerusalem.  Our practice includes services from formation to exit, employment law, intellectual property and leases.		https://www.facebook.com/livnat.mayer?fref=ts	31.749427	35.186021	Yes, we are hiring!				1998	Yes	Yes			No			<img src="https://www.facebook.com/photo.php?fbid=104735889687488&set=a.104735153020895.10410.100004532320193&type=1&theater" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.LMF.co.il">Livnat, Mayer & Co. - Attorneys At Law</a>	הקובץ של MAdeinJLM	Livnat, Mayer & Co. - Attorneys At Law																																										
LS Message experts	http://www.message-experts.com/	http://www.message-experts.com/wp-content/themes/Minimal/images/logo.png	Reuven 22, Jerusalem	Talpiot	Service	3	Service Provider / Outsource	fleur@message-experts.com	545283683	Fleur Hassan-Nahoum	LS Message experts is a boutique consulting firm that specializes in helping our clients develop their messages and then deliver them effectively in any setting from a one-on-one conversation, to a client/sales/investor meetings/interviews to large presentations or high-stakes speaking events. Programs are tailored to each client’s needs, often in preparation for a specific upcoming high-stakes speaking opportunity. Sessions with our experts guarantee a significant upgrade in both content and delivery style. And yes, we make it all fun.  			31.759499	35.217887													<img src="http://www.message-experts.com/wp-content/themes/Minimal/images/logo.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.message-experts.com/">LS Message experts</a>	הקובץ של MAdeinJLM	LS Message experts																																										
Macademia		http://madeinjlm.org/map/1px.png	Siftech		Pre-Seed	2	Internet				Sitech			31.7936	35.243233		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="">Macademia</a>	הקובץ של MAdeinJLM	Macademia																																										
Malam	http://www.malam.com/	http://madeinjlm.org/map/1px.png	עם ועולמו	גבעת שאול	Big,Service		Service Provider / Outsource		02-6707727	אסתר יובל				31.7941	35.2148		X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.malam.com/">Malam</a>	הקובץ של MAdeinJLM	Malam																																										
Marx Biotechnology Ltd	http://www.MarxBio.com	http://madeinjlm.org/map/1px.png	Hamitla Street 3/3, Jerusalem			2	Medical	Stephen@MarxBio.com	0528 693366	Michael Horesh	Marx Bio is entering clinical trials to develop a diagnostic kit for the early detection of Graft Versus Host Disease (GVHD). 			31.800868	35.224078	Nope			Startup	Marx Bio has completed animal trials and is now entering Phase 1 clinical trials. The technology is supported by 3 strong patents and a paper published in a peer journal. Founded in 2011 and financed through seed investment, the company will create a prototype over the next twelve months		2011	Yes	Yes				<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.MarxBio.com">Marx Biotechnology Ltd</a>	הקובץ של MAdeinJLM	Marx Biotechnology Ltd																																										
Matrix	www.matrix.com	http://madeinjlm.org/map/1px.png	קרית המדע 11	הר חוצבים	Big,Service		Service Provider / Outsource		02-5888600	משה אטיאס	החברה מעסיקה כ- 6,300 מקצועני ,IT. מטריקס עוסקת בביצוע פרויקטי אינטגרציה, פיתוח ויישום טכנולוגיות, פתרונות ומוצרי תוכנה, ייצוג ושיווק מוצרי תוכנה מובילים מהעולם, שירותי תשתית, ייעוץ, ,Offshore מיקור חוץ, בדיקות, הדרכה והטמעה, ופתרונות חומרה מובילים. מטריקס מדורגת כחברה שהכי כדאי לעבוד בה בתחום שירותי IT, ע"פי סקר BDI. - מטריקס נסחרת בבורסה לניירות ערך בת"א במדד תל אביב 100 ונסחרת גם במדד היוקרתי של החברות הגדולות המחלקות דיבידנד - תל דיב 20. - מחזור המכירות של מטריקס במהלך שנת 2011הגיע ל- 1.75 מיליארד שקל, הרווח הנקי הגיע ל- 96 מיליון שקל. - חברות המחקר מדרגות את מטריקס במקום הראשון בענף שירותי התוכנה בישראל, STKI מדרגת את מטריקס בראש זו השנה השביעית ו IDC מדרגת את מטריקס ראשונה זו השנה הרביעית ברציפות.						X											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="www.matrix.com">Matrix</a>	הקובץ של MAdeinJLM	Matrix																																										
Mayorita	https://www.mayorita.com/	https://www.mayorita.com/assets/logo-3a9d667482a6b643dd113604423ad3a1.png	Jerusalem		Young	2	Software	contact@mayorita.com		Ran Kramer	 Mayorita is a reliable and objective way to hear the voice of the crowd and to make your own voice influence others. Whether it is a fact, opinion or advise that you seek, Mayorita is there for you			31.804753	35.150789		X											<img src="https://www.mayorita.com/assets/logo-3a9d667482a6b643dd113604423ad3a1.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="https://www.mayorita.com/">Mayorita</a>	הקובץ של MAdeinJLM	Mayorita																																										
Medinol 	http://www.medinol.com/	http://madeinjlm.org/map/1px.png	Har Hotzvim	HH			Medical		03-7679000	תמרה שאגר	סטנטים			31.809	35.2235		V											<img src="http://madeinjlm.org/map/1px.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.medinol.com/">Medinol </a>	הקובץ של MAdeinJLM	Medinol 																																										
Merjerz	http://www.merjerz.com	http://www.merjerz.com/assets/logo_m-425c009dd205d0370b1ec90d11fa72a0.png	Hamaapilim 10	Katamon			Internet	info@merjerz.com		Arye Schreiber	Merjerz makes M&A succeed, using the wisdom of crowds. Help the companies you care about make the right moves by joining the crowd of Merjerz mavericks.	@merjerz	https://www.facebook.com/Merjerz	31.7629	35.2061	Nope			Startup									<img src="http://www.merjerz.com/assets/logo_m-425c009dd205d0370b1ec90d11fa72a0.png" style="max-height: 100px;max-width: 100px;" />	<a target="_blank" rel="nofollow" href="http://www.merjerz.com">Merjerz</a>	הקובץ של MAdeinJLM	Merjerz																																										
